category,Topic,final_topic_id,final_topic
food,23,6,新闻事件、公共危机与种族化争议
food,24,1,具体中餐菜品、烹饪对象与口味类型
food,25,4,日常点餐、外卖、剩菜与家庭消费实践
food,26,1,具体中餐菜品、烹饪对象与口味类型
food,27,4,日常点餐、外卖、剩菜与家庭消费实践
food,28,5,正宗性、身份边界与跨国本土化
food,29,4,日常点餐、外卖、剩菜与家庭消费实践
food,30,3,节日仪式与族裔文化传统中的中餐
food,31,4,日常点餐、外卖、剩菜与家庭消费实践
food,32,8,泛化评价、饮食偏好与弱语义闲聊
food,33,6,新闻事件、公共危机与种族化争议
food,34,6,新闻事件、公共危机与种族化争议
food,35,6,新闻事件、公共危机与种族化争议
food,36,5,正宗性、身份边界与跨国本土化
food,37,2,餐馆推荐、城市空间与外食品牌场景
food,38,8,泛化评价、饮食偏好与弱语义闲聊
food,39,4,日常点餐、外卖、剩菜与家庭消费实践
food,40,7,媒体娱乐、平台文本与知识生产
food,41,5,正宗性、身份边界与跨国本土化
food,42,1,具体中餐菜品、烹饪对象与口味类型
food,43,7,媒体娱乐、平台文本与知识生产
food,44,5,正宗性、身份边界与跨国本土化
food,45,4,日常点餐、外卖、剩菜与家庭消费实践
food,46,1,具体中餐菜品、烹饪对象与口味类型
food,47,4,日常点餐、外卖、剩菜与家庭消费实践
