Topic,Count,Name,Representation,Representative_Docs,final_topic_id,final_topic
30,121,30_moon_moon festival_autumn_festival,"['moon', 'moon festival', 'autumn', 'festival', 'mid', 'mid autumn', 'autumn festival', 'chinese moon', 'cultural', 'community']","['happy moonfestival! chinese moon festival, also known mid-autumn festival, celebrated moon believed biggest fullest. festival family reunion, harmony, happiness.', 'celebrating chinese moon festival autumn 🍜.', 'happy mid autumn moon festival chinese around world 🌕']",4,灯会、龙舟、中秋等具体节庆与仪式
31,121,31_lunar new_lunar_celebrate lunar_dishes,"['lunar new', 'lunar', 'celebrate lunar', 'dishes', 'restaurants', 'food', 'chinese food', 'recipes', 'noodles', 'chinese restaurants']","['bathe human hot pot eating barbecue celebrate lunar new year', 'bathe human hot pot eating barbecue celebrate lunar new year', 'traditions (and food) celebrate lunar new year.']",5,节日餐饮、红包消费与经济流通
32,120,32_concert_year concert_music_song,"['concert', 'year concert', 'music', 'song', 'orchestra', 'symphony', 'chinese new', 'new', 'listen', 'chinese']","['chinese new year concert gala slideshow yearofthemonkey', 'chinese new year concert suzhou symphony orchestra united nations! live', 'chinese new year’s concert']",3,城市空间、华埠庆典与公共文化活动
33,118,33_year happy_happy chinese_happy_chinese new,"['year happy', 'happy chinese', 'happy', 'chinese new', 'new year', 'new', 'chinese', 'year', 'tweeps', 'time happy']","['happy chinese new year!', 'happy chinese new year!', 'happy chinese new year!']",1,春节祝福、问候与团圆庆祝
34,115,34_yearofthepig happy_yearofthepig_year yearofthepig_happy chinese,"['yearofthepig happy', 'yearofthepig', 'year yearofthepig', 'happy chinese', 'yearofthegoat', 'happy', 'yearofthemonkey', 'yearoftherooster happy', 'year yearofthemonkey', 'year yearofthegoat']","['happy chinese new year! yearofthepig 🐷', 'happy chinese new year yearofthepig!', 'happy chinese new year! yearofthepig']",2,生肖年份、吉祥语与传统民俗符号
35,114,35_video_episode_tv_year video,"['video', 'episode', 'tv', 'year video', 'new video', 'chinese new', 'new', 'video chinese', 'new year', 'chinese']","[""video - two different headlines. think 's new chinese new year video?"", 'new finance video! happy chinese new year!', 'video: mad dash chinese new year']",6,品牌营销、体育时尚与娱乐媒介
36,105,36_year festival_tickets_free_festival,"['year festival', 'tickets', 'free', 'festival', 'weekend', 'join', 'hall', 'celebrate chinese', 'performances', 'celebrate']","[""join us tomorrow fourth event online one world festival - 'love &amp; new beginnings' ❤️celebrate chinese new year valentine's day poetry readings, music, curator talk, craft activity more. sunday 2.30. .."", ""coming weekend fourth event online one world festival - 'love &amp; new beginnings' ❤️celebrate chinese new year valentine's day poetry readings, music, curator talk, craft activity more. sunday 2.30. .."", 'chinese new year festival beyond compare.']",3,城市空间、华埠庆典与公共文化活动
37,104,37_chinesenewyear_chinesenewyear happy_year chinesenewyear_happy chinese,"['chinesenewyear', 'chinesenewyear happy', 'year chinesenewyear', 'happy chinese', 'happy', 'happychinesenewyear', 'chinese new', 'chinese', 'new year', 'new']","['happy chinese new year wsw chinesenewyear', 'happy chinese new year!.baa .chinesenewyear', 'happy chinese new year anyahindmarch chinesenewyear']",1,春节祝福、问候与团圆庆祝
38,103,38_rat_year rat_2020_year year,"['rat', 'year rat', '2020', 'year year', 'year', '2020 year', 'happy', 'year 2020', 'happy chinese', 'celebrate']","['happy chinese new year ! # rat love blessing!! rosie xo', 'happy chinese new year 🧧! year rat 🐀', '⭐️happy chinese new year ⭐️🎉 1960 year rat 🌠']",2,生肖年份、吉祥语与传统民俗符号
39,99,39_year happy_happy chinese_happy_chinese new,"['year happy', 'happy chinese', 'happy', 'chinese new', 'new year', 'new', 'chinese', 'year', 'year thank', 'year chinesenewyear']","['happy chinese new year 🎉', 'happy chinese new year 🎊🎋', 'happy chinese new year 🐒🐒🐒🐒🐒🐒🐒🐒']",1,春节祝福、问候与团圆庆祝
40,93,40_gong xi_fa_xi fa_xi,"['gong xi', 'fa', 'xi fa', 'xi', 'fa cai', 'gong', 'cai', 'cai happy', 'nian kuai', 'xin nian']","['gong xi fa cai! ..happy chinese new year', 'gong xi fa cai! happy chinese new year hp careers. lifeathp', 'new | gong xi fa cai! celebrating chinese new year labrador..']",1,春节祝福、问候与团圆庆祝
41,89,41_dublin_year festival_city_hall,"['dublin', 'year festival', 'city', 'hall', 'festival', 'city hall', 'programme', 'red', 'mark', 'feb']","[""here's what's happening dublin chinese new year"", 'chinese new year celebrations smithfield, dublin 2004', 'happy chinese new year dublin! 🍀 celticinvasiontour']",3,城市空间、华埠庆典与公共文化活动
42,87,42_money_bank_chain_pop,"['money', 'bank', 'chain', 'pop', 'market', 'spend', 'chinese new', 'new', 'blog', 'week']","['people spend money chinese new year', 'people spend money chinese new year', 'commentary: don’t stash child’s hongbao money bank. give chance spend']",7,疫情、迁徙、环境与社会经济议题
43,86,43_year happy_happy chinese_happy_chinese new,"['year happy', 'happy chinese', 'happy', 'chinese new', 'new year', 'new', 'chinese', 'year', 'china world', 'leader']","['raceahead: happy chinese new year', 'happy chinese new year', 'happy chinese new year']",1,春节祝福、问候与团圆庆祝
44,83,44_lunar_lunar new_happy lunar_celebrate lunar,"['lunar', 'lunar new', 'happy lunar', 'celebrate lunar', 'things', 'new', 'new year', 'celebrate', 'year', 'year lunar']","['happy lunar new year!', 'happy lunar new year! | .', 'happy lunar new year!']",1,春节祝福、问候与团圆庆祝
45,82,45_red_envelopes_red envelopes_envelope,"['red', 'envelopes', 'red envelopes', 'envelope', 'red envelope', 'money', 'digital', 'cash', 'packets', 'red packets']","['digital red envelopes proved bonanza alibaba &amp; tencent:', 'make red envelopes chinese new year.', 'it’s almost chinese new year. i’m kindly accepting red envelopes']",5,节日餐饮、红包消费与经济流通
46,80,46_boat_dragon boat_boat festival_dragon,"['boat', 'dragon boat', 'boat festival', 'dragon', 'festival', 'race', 'chinese dragon', 'races', 'fifth', 'china']","['head lakeshore state park 8/12 traditional chinese dragon-boat racing milwaukee dragon boat festival', 'celebrating dragon boat festival across china.', 'dragon boat festival start china saturday.']",4,灯会、龙舟、中秋等具体节庆与仪式
47,79,47_manchester_celebrations_year celebrations_symbolism,"['manchester', 'celebrations', 'year celebrations', 'symbolism', 'events', 'taking place', 'food', 'city', 'city centre', 'apply']","[""everything that's happening manchester chinese new year."", 'chinese new year manchester – photo essay', 'top 5 things celebrate chinese new year manchester cnymcr']",3,城市空间、华埠庆典与公共文化活动
48,78,48_square_chinese lantern_lantern festival_lantern,"['square', 'chinese lantern', 'lantern festival', 'lantern', 'philadelphia', 'festival', 'returns', 'spring', 'awesome', 'june']","['open: philadelphia chinese lantern festival franklin square:', 'franklin square welcome philadelphia’s first-ever chinese lantern festival spring:', 'all-new philadelphia chinese lantern festival franklin square']",4,灯会、龙舟、中秋等具体节庆与仪式
49,77,49_singapore_year singapore_bus_malaysia,"['singapore', 'year singapore', 'bus', 'malaysia', 'eve', 'services', 'year eve', 'train', 'safe', 'period']","['happy chinese new year singapore!', ""singapore ministers thank working chinese new year 'keep singapore humming'"", 'singapore celebrating chinese new year singapore travel azalocal']",3,城市空间、华埠庆典与公共文化活动
50,73,50_movie_camera_scenes_using,"['movie', 'camera', 'scenes', 'using', 'latest chinese', 'year film', 'nian', 'max', 'wang', 'apple']","['make movie without using movie camera? see director lulu wang pulled iphone 12 pro max behind scenes apple’s latest chinese new year film, nian.', 'make movie without using movie camera? see director lulu wang pulled iphone 12 pro max behind scenes apple’s latest chinese new year film, nian.', 'make movie without using movie camera? see director lulu wang pulled iphone 12 pro max behind scenes apple’s latest chinese new year film, nian.']",6,品牌营销、体育时尚与娱乐媒介
51,73,51_melbourne_sydney_sydney chinese_cnysyd,"['melbourne', 'sydney', 'sydney chinese', 'cnysyd', 'melbourne chinese', 'year melbourne', 'australian', 'australia', '9news', 'chinese new']","['🐲➕🐀 melbourne celebrating chinese new year', 'happy chinese new year, 恭禧发财 city melbourne', 'happy chinese new year! cnysyd sydney australia @ bridgeclimb sydney']",3,城市空间、华埠庆典与公共文化活动
52,71,52_hong kong_kong_hong_year hong,"['hong kong', 'kong', 'hong', 'year hong', 'kong chinese', 'disney', 'disneyland', 'resort', 'hongkong', 'flights']","['6 best rooftop bars hong kong, time chinese new year', 'celebrate chinese new year hong kong ➡️ chinesenewyear', 'celebrate chinese new year hong kong ➡']",3,城市空间、华埠庆典与公共文化活动
53,70,53_migration_human_largest_home,"['migration', 'human', 'largest', 'home', 'world largest', 'home chinese', 'travellers', 'map', 'world', 'massive']","[""povxworldmarathon: every spring, world's largest human migration takes place china. lasttrainhome story zhangs, migrant workers left villages seek work urban factories, return home chinese new year."", ""brace - world's largest human migration begins ahead chinese new year:"", ""amazing map world's largest human migration, due chinese new year""]",7,疫情、迁徙、环境与社会经济议题
54,70,54_adidas_boost_cny chinese_red gold,"['adidas', 'boost', 'cny chinese', 'red gold', 'red', 'year red', 'look', 'gold', 'available', 'cny']","['adidas 3 ""chinese new year"".', 'chinese new year adidas ultraboost 💥', 'adidas t-mac 3 ""chinese new year""']",6,品牌营销、体育时尚与娱乐媒介
55,68,55_vegas_las vegas_las_exhibit,"['vegas', 'las vegas', 'las', 'exhibit', '8nn', 'display', 'ultimate', 'botanical', 'gardens', '2016']","[""ringing chinesenewyear! new location tomorrow's spring festival parade... happening renovated las vegas arts district. live downtown preview, good day las vegas 8nn. ..events:"", 'chinese new year vegas... yearofthedog las vegas happychinesenewyear', 'chinese new year adds upside wynn, las vegas sands']",3,城市空间、华埠庆典与公共文化活动
56,63,56_liverpool_celebrations_year celebrations_plan,"['liverpool', 'celebrations', 'year celebrations', 'plan', 'year 2016', 'year fantastic', 'day celebration', '2016', 'miss chinese', '10th']","[""liverpool's chinese new year celebrations - full timetable events ."", 'chinese new year celebrations liverpool 😍', 'liverpool gears chinese new year celebrations via']",3,城市空间、华埠庆典与公共文化活动
57,61,57_box office_box_office_million,"['box office', 'box', 'office', 'million', 'record', 'sales', 'film', 'china', 'year holiday', 'holiday']","['china box office sets new global record chinese new year', 'china box office: ‘soul’ holds lunar new year pre-sales soar', 'china box office: beijing culture-backed tear-jerking comedy “hi, mom” grossed $134 million weekend finally surpass wanda film’s record-breaking chinese new year holiday frontrunner “detective chinatown 3” overall box office.']",6,品牌营销、体育时尚与娱乐媒介
58,60,58_air_low_collection_edition,"['air', 'low', 'collection', 'edition', 'force', 'shoes', 'gt', 'inspired', 'year collection', 'pattern']","['lfc nike chinese new year 21 top. .new lfc limited-edition top celebrate chinese new year, design elements taking inspiration traditional chinese knots used symbols good luck new year celebration...shop here:', 'lfc nike chinese new year 21 top. .new lfc limited-edition top celebrate chinese new year, design elements taking inspiration traditional chinese knots used symbols good luck new year celebration...shop here:', 'lunar new year celebrations underway, nike part conjuring excitement sneaker world. air force 1 air jordan 1 low part “year rat” collection feature nods traditional chinese culture...']",6,品牌营销、体育时尚与娱乐媒介
59,58,59_shot_iphone_film_zhou,"['shot', 'iphone', 'film', 'zhou', 'generations', 'coming chinese', 'apple', 'pro', 'women', 'short']","['film three generations chinese women coming together chinese new year, starring zhou xun. shot iphone 11 pro.', 'film three generations chinese women coming together chinese new year, starring zhou xun. shot iphone 11 pro.', 'film three generations chinese women coming together chinese new year, starring zhou xun. shot iphone 11 pro.']",6,品牌营销、体育时尚与娱乐媒介
60,58,60_lunar new_lunar_china_travel,"['lunar new', 'lunar', 'china', 'travel', 'millions', 'china lunar', 'trips', 'holiday', 'expected', 'year holiday']","['china’s lunar new year holiday period starts soon, hundreds millions people expected travel', ""400 million rail trips. 7 million trips abroad. hundreds millions worth money envelopes exchanged digitally. here's china's lunar new year numbers."", ""400 million rail trips. 7 million trips abroad. hundreds millions worth money envelopes exchanged digitally. here's china's lunar new year numbers.""]",7,疫情、迁徙、环境与社会经济议题
